import time: self [us] | cumulative | imported package
import time:       164 |        164 |   _io
import time:        29 |         29 |   marshal
import time:       255 |        255 |   posix
import time:       487 |        933 | _frozen_importlib_external
import time:        76 |         76 |   time
import time:       169 |        244 | zipimport
import time:        40 |         40 |     _codecs
import time:       432 |        471 |   codecs
import time:       581 |        581 |   encodings.aliases
import time:       676 |       1727 | encodings
import time:       130 |        130 | encodings.utf_8
import time:        73 |         73 | _signal
import time:        25 |         25 |     _abc
import time:       125 |        149 |   abc
import time:       136 |        285 | io
import time:        40 |         40 |       _stat
import time:        76 |        115 |     stat
import time:       706 |        706 |     _collections_abc
import time:        51 |         51 |       errno
import time:        70 |         70 |       genericpath
import time:       108 |        228 |     posixpath
import time:       391 |       1439 |   os
import time:        69 |         69 |   _sitebuiltins
import time:       369 |        369 |   encodings.utf_8_sig
import time:        95 |         95 |         itertools
import time:        80 |         80 |         keyword
import time:        52 |         52 |           _operator
import time:       182 |        233 |         operator
import time:       125 |        125 |         reprlib
import time:        48 |         48 |         _collections
import time:       581 |       1159 |       collections
import time:        42 |         42 |         _functools
import time:       438 |        480 |       functools
import time:       391 |        391 |       types
import time:       425 |       2453 |     contextlib
import time:       893 |       3346 |   _virtualenv
import time:       218 |        218 |   _distutils_hack
import time:       142 |        142 |     importlib
import time:       428 |        428 |     importlib._abc
import time:       144 |        712 |   importlib.util
import time:        45 |         45 |   importlib.machinery
import time:      1118 |       1118 |   sitecustomize
import time:     24118 |      31430 | site
import time:      1189 |       1189 | linecache
import time:       365 |        365 |       nvml
import time:       287 |        652 |     nvml.cli
import time:       277 |        928 |   nvml.cli.studies
import time:        38 |         38 |       atexit
import time:      1290 |       1290 |             enum
import time:        68 |         68 |               _sre
import time:       191 |        191 |                 re._constants
import time:       276 |        466 |               re._parser
import time:        84 |         84 |               re._casefix
import time:       563 |       1180 |             re._compiler
import time:       134 |        134 |             copyreg
import time:       408 |       3011 |           re
import time:      1016 |       1016 |           _ast
import time:      1005 |       5031 |         ast
import time:        36 |         36 |             _opcode
import time:       150 |        150 |             _opcode_metadata
import time:       225 |        410 |           opcode
import time:       708 |       1118 |         dis
import time:       123 |        123 |           token
import time:        33 |         33 |           _tokenize
import time:       661 |        816 |         tokenize
import time:       163 |        163 |           _weakrefset
import time:       358 |        521 |         weakref
