import time: self [us] | cumulative | imported package
import time:       194 |        194 |   _io
import time:        31 |         31 |   marshal
import time:       292 |        292 |   posix
import time:       636 |       1152 | _frozen_importlib_external
import time:        92 |         92 |   time
import time:       170 |        262 | zipimport
import time:        52 |         52 |     _codecs
import time:       591 |        642 |   codecs
import time:    129519 |     129519 |   encodings.aliases
import time:    141734 |     271894 | encodings
import time:       486 |        486 | encodings.utf_8
import time:        91 |         91 | _signal
import time:        27 |         27 |     _abc
import time:       142 |        168 |   abc
import time:       146 |        314 | io
import time:        42 |         42 |       _stat
import time:        78 |        119 |     stat
import time:       730 |        730 |     _collections_abc
import time:        48 |         48 |       errno
import time:        71 |         71 |       genericpath
import time:       110 |        228 |     posixpath
import time:       413 |       1489 |   os
import time:        70 |         70 |   _sitebuiltins
import time:       684 |        684 |   encodings.utf_8_sig
import time:       114 |        114 |         itertools
import time:       688 |        688 |         keyword
import time:        61 |         61 |           _operator
import time:       563 |        623 |         operator
import time:       471 |        471 |         reprlib
import time:        53 |         53 |         _collections
import time:      1295 |       3242 |       collections
import time:        45 |         45 |         _functools
import time:       833 |        878 |       functools
import time:       750 |        750 |       types
import time:       834 |       5702 |     contextlib
import time:    296371 |     302073 |   _virtualenv
import time:       947 |        947 |   _distutils_hack
import time:      1190 |       1190 |     importlib
import time:    172648 |     172648 |     importlib._abc
import time:       186 |     174023 |   importlib.util
import time:        80 |         80 |   importlib.machinery
import time:      1966 |       1966 |   sitecustomize
import time:     28355 |     509682 | site
import time:      1635 |       1635 | linecache
import time:       665 |        665 |       nvml
import time:       367 |       1031 |     nvml.cli
import time:       385 |       1415 |   nvml.cli.studies
import time:        47 |         47 |       atexit
import time:      1586 |       1586 |             enum
import time:       124 |        124 |               _sre
import time:       589 |        589 |                 re._constants
import time:       697 |       1285 |               re._parser
import time:       413 |        413 |               re._casefix
import time:    194585 |     196406 |             re._compiler
import time:       516 |        516 |             copyreg
import time:      1029 |     199536 |           re
import time:      1035 |       1035 |           _ast
import time:      1352 |     201923 |         ast
import time:        45 |         45 |             _opcode
import time:       519 |        519 |             _opcode_metadata
import time:       622 |       1186 |           opcode
import time:      1192 |       2377 |         dis
import time:       471 |        471 |           token
import time:        39 |         39 |           _tokenize
import time:      1101 |       1610 |         tokenize
import time:       620 |        620 |           _weakrefset
import time:       688 |       1307 |         weakref
import time:      2164 |     209378 |       inspect
import time:        75 |         75 |         _locale
import time:      1116 |       1191 |       locale
import time:      1040 |       1040 |           textwrap
import time:       653 |        653 |           warnings
import time:       417 |        417 |             __future__
import time:       574 |        990 |           _colorize
import time:       923 |       3605 |         traceback
import time:        35 |         35 |           _string
import time:       836 |        871 |         string
import time:      1082 |       1082 |         threading
import time:      2422 |       7978 |       logging
import time:       464 |        464 |             fnmatch
import time:       817 |       1281 |           glob
import time:    210915 |     212195 |         pathlib._abc
import time:        93 |         93 |             _winapi
import time:        61 |         61 |             nt
import time:        57 |         57 |             nt
import time:        57 |         57 |             nt
import time:        53 |         53 |             nt
import time:        51 |         51 |             nt
import time:        51 |         51 |             nt
import time:        51 |         51 |             nt
import time:       204 |        673 |           ntpath
import time:        44 |         44 |           pwd
import time:        39 |         39 |           grp
import time:       787 |       1542 |         pathlib._local
import time:       830 |     214566 |       pathlib
import time:       525 |        525 |           copy
import time:       820 |       1345 |         dataclasses
import time:       821 |       2165 |       pprint
import time:        75 |         75 |         zlib
import time:       503 |        503 |           _compression
import time:        37 |         37 |           _bz2
import time:       519 |       1059 |         bz2
import time:        59 |         59 |           _lzma
import time:       510 |        569 |         lzma
import time:       941 |       2642 |       shutil
import time:       852 |        852 |         signal
import time:        57 |         57 |         fcntl
import time:        79 |         79 |         msvcrt
import time:        26 |         26 |         _posixsubprocess
import time:        41 |         41 |         select
import time:        56 |         56 |           math
import time:       749 |        805 |         selectors
import time:       880 |       2737 |       subprocess
import time:        32 |         32 |             _bisect
import time:       403 |        434 |           bisect
import time:        31 |         31 |           _random
import time:       954 |       1418 |         random
import time:       860 |       2278 |       tempfile
import time:       774 |        774 |         packaging
import time:        39 |         39 |           _typing
import time:      1943 |       1981 |         typing
import time:       448 |        448 |         packaging._structures
import time:      2361 |       5563 |       packaging.version
import time:        42 |         42 |             _heapq
import time:       456 |        497 |           heapq
import time:       751 |       1248 |         difflib
import time:       737 |        737 |         matplotlib._api.deprecation
import time:      1178 |       3163 |       matplotlib._api
import time:       566 |        566 |       matplotlib._version
import time:        68 |         68 |             _struct
import time:       441 |        509 |           struct
import time:       616 |       1125 |         gzip
import time:       538 |        538 |         shlex
import time:       878 |        878 |           numpy.version
import time:       428 |        428 |           numpy._expired_attrs_2_0
import time:       677 |        677 |               numpy._utils._conversions
import time:       774 |       1450 |             numpy._utils
import time:       575 |       2024 |           numpy._globals
import time:        23 |         23 |             numpy._distributor_init_local
import time:       473 |        496 |           numpy._distributor_init
import time:      2411 |       2411 |                       _datetime
import time:       521 |       2932 |                     datetime
import time:       565 |        565 |                     numpy.exceptions
import time:       530 |        530 |                     numpy._core._exceptions
import time:        30 |         30 |                         _contextvars
import time:       438 |        467 |                       contextvars
import time:       393 |        859 |                     numpy._core.printoptions
import time:       775 |        775 |                     numpy.dtypes
import time:     11226 |      16885 |                   numpy._core._multiarray_umath
import time:       757 |        757 |                     numpy._utils._inspect
import time:       593 |       1349 |                   numpy._core.overrides
import time:      1614 |      19847 |                 numpy._core.multiarray
import time:       890 |        890 |                 numpy._core.umath
import time:       630 |        630 |                   numbers
import time:       410 |        410 |                   numpy._core._string_helpers
import time:       540 |        540 |                   numpy._core._type_aliases
import time:       541 |       2120 |                 numpy._core.numerictypes
import time:       491 |        491 |                             _compat_pickle
import time:       268 |        268 |                             _pickle
import time:       970 |       1728 |                           pickle
import time:       460 |       2188 |                         numpy._core._methods
import time:       870 |       3057 |                       numpy._core.fromnumeric
import time:       523 |       3579 |                     numpy._core.shape_base
import time:       492 |        492 |                     numpy._core._ufunc_config
import time:       672 |        672 |                     numpy._core._asarray
import time:       867 |        867 |                     numpy._core.arrayprint
import time:       859 |       6468 |                   numpy._core.numeric
import time:       569 |       7037 |                 numpy._core.einsumfunc
import time:       491 |        491 |                 numpy._core.function_base
import time:       473 |        473 |                 numpy._core.getlimits
import time:       455 |        455 |                 numpy._core.memmap
import time:       557 |        557 |                 numpy._core.records
import time:      4528 |       4528 |                 numpy._core._add_newdocs
import time:       903 |        903 |                 numpy._core._add_newdocs_scalars
import time:       521 |        521 |                 numpy._core._dtype
import time:       409 |        409 |                 numpy._core._dtype_ctypes
import time:       987 |        987 |                     sysconfig
import time:       152 |        152 |                     _ctypes
import time:    192411 |     192411 |                     ctypes._endian
import time:      1341 |     194889 |                   ctypes
import time:      1166 |     196055 |                 numpy._core._internal
import time:       541 |        541 |                 numpy._pytesttester
import time:       949 |     235769 |               numpy._core
import time:        21 |     235789 |             numpy._core._multiarray_umath
import time:       598 |     236387 |           numpy.__config__
import time:       506 |        506 |                             numpy._typing._nbit_base
import time:       507 |        507 |                             numpy._typing._nested_sequence
import time:       455 |        455 |                             numpy._typing._shape
import time:       860 |       2326 |                           numpy._typing._array_like
import time:       456 |        456 |                           numpy._typing._char_codes
import time:       934 |        934 |                           numpy._typing._dtype_like
import time:       405 |        405 |                           numpy._typing._nbit
import time:       427 |        427 |                           numpy._typing._scalars
import time:       366 |        366 |                           numpy._typing._ufunc
import time:       863 |       5774 |                         numpy._typing
import time:       382 |        382 |                             numpy.lib._array_utils_impl
import time:       519 |        901 |                           numpy.lib._stride_tricks_impl
import time:       556 |       1457 |                         numpy.lib._twodim_base_impl
import time:       377 |        377 |                         numpy.lib.array_utils
import time:      1514 |       1514 |                         numpy.linalg._umath_linalg
import time:      1732 |      10853 |                       numpy.linalg._linalg
import time:       906 |      11758 |                     numpy.linalg
import time:       760 |      12518 |                   numpy.matrixlib.defmatrix
import time:       759 |      13276 |                 numpy.matrixlib
import time:       554 |        554 |                   numpy.lib._histograms_impl
